STATION,NAME,DATE,DY,PRCP,TMAX,TMIN
USC00036920,"STUTTGART 9 ESE, AR US",1956-03,1,3.06,61.8,40.2
USC00036920,"STUTTGART 9 ESE, AR US",1956-04,1,5.92,70.3,47.2
USC00036920,"STUTTGART 9 ESE, AR US",1956-05,1,1.11,82.7,62.5
USC00036920,"STUTTGART 9 ESE, AR US",1956-06,1,3.09,87,66.4
USC00036920,"STUTTGART 9 ESE, AR US",1956-07,1,3.63,92.5,69.3
USC00036920,"STUTTGART 9 ESE, AR US",1956-08,1,4.26,93.5,67.9
USC00036920,"STUTTGART 9 ESE, AR US",1956-09,1,2.69,85.6,55.1
USC00036920,"STUTTGART 9 ESE, AR US",1956-10,1,4.24,78.2,50.7
USC00036920,"STUTTGART 9 ESE, AR US",1956-11,1,3.33,61.2,36.1
USC00036920,"STUTTGART 9 ESE, AR US",1956-12,1,3.64,58.5,36.2
USC00036920,"STUTTGART 9 ESE, AR US",1957-01,1,6.86,47.3,28.8
USC00036920,"STUTTGART 9 ESE, AR US",1957-02,1,9.63,57.1,39.7
USC00036920,"STUTTGART 9 ESE, AR US",1957-03,1,4.26,58.7,37.8
USC00036920,"STUTTGART 9 ESE, AR US",1957-04,1,11.04,71.3,52.9
USC00036920,"STUTTGART 9 ESE, AR US",1957-05,1,5.83,80.3,61.8
USC00036920,"STUTTGART 9 ESE, AR US",1957-06,1,6.9,86.7,69.6
USC00036920,"STUTTGART 9 ESE, AR US",1957-07,1,4.47,90.4,71.4
USC00036920,"STUTTGART 9 ESE, AR US",1957-08,1,3.51,88.4,69
USC00036920,"STUTTGART 9 ESE, AR US",1957-09,1,4.27,80.5,62.6
USC00036920,"STUTTGART 9 ESE, AR US",1957-10,1,5.1,69.2,49
USC00036920,"STUTTGART 9 ESE, AR US",1957-11,1,7.98,60.8,43
USC00036920,"STUTTGART 9 ESE, AR US",1957-12,1,4.08,57,38.3
USC00036920,"STUTTGART 9 ESE, AR US",1958-01,1,3.93,47.6,29.5
USC00036920,"STUTTGART 9 ESE, AR US",1958-02,1,1.69,45.5,28.5
USC00036920,"STUTTGART 9 ESE, AR US",1958-03,1,5.02,53,38.3
USC00036920,"STUTTGART 9 ESE, AR US",1958-04,1,8.6,70.1,50.5
USC00036920,"STUTTGART 9 ESE, AR US",1958-05,1,7.45,79,61.1
USC00036920,"STUTTGART 9 ESE, AR US",1958-06,1,9,86.9,65
USC00036920,"STUTTGART 9 ESE, AR US",1958-07,1,2.92,89.5,72.5
USC00036920,"STUTTGART 9 ESE, AR US",1958-08,1,3.64,88.8,70.3
USC00036920,"STUTTGART 9 ESE, AR US",1958-09,1,5.15,83.9,64.1
USC00036920,"STUTTGART 9 ESE, AR US",1958-10,1,1.49,73.7,47.9
USC00036920,"STUTTGART 9 ESE, AR US",1958-11,1,5.69,65,40.4
USC00036920,"STUTTGART 9 ESE, AR US",1958-12,1,0.96,46.6,28
USC00036920,"STUTTGART 9 ESE, AR US",1959-01,1,3.64,46.8,28.2
USC00036920,"STUTTGART 9 ESE, AR US",1959-02,1,4.27,52,34.1
USC00036920,"STUTTGART 9 ESE, AR US",1959-03,1,5.28,61.8,37.9
USC00036920,"STUTTGART 9 ESE, AR US",1959-04,1,4.64,71.4,49.1
USC00036920,"STUTTGART 9 ESE, AR US",1959-05,1,3.54,83.8,62
USC00036920,"STUTTGART 9 ESE, AR US",1959-06,1,2,86,66.7
USC00036920,"STUTTGART 9 ESE, AR US",1959-07,1,4.94,89.8,68.9
USC00036920,"STUTTGART 9 ESE, AR US",1959-08,1,1.46,90.4,69.5
